H_lr, loss_lambda_kmeans, gnnlayers, with_bn, F_norm, lin, step_size_gamma, lambda1, lambda2, dropout, dataset, acc_mean, acc_std, nmi_mean, nmi_std, ari_mean, ari_std, f1_mean, f1_std, mod_mean, mod_std, con_mean, con_std
0.01, 0.0, 4, True, True, True, 0.005, 60.0, 0.001, 0.0, cora, 72.59, 0.71, 56.54, 0.83, 49.05, 1.04, 69.14, 0.75, 75.02, 0.43, 7.07, 0.47
0.01, 0.0, 4, True, True, True, 0.005, 60.0, 0.003, 0.0, cora, 72.63, 0.90, 56.32, 1.14, 49.30, 1.36, 68.98, 0.80, 75.22, 0.51, 7.12, 0.53
0.01, 0.0, 4, True, True, True, 0.005, 60.0, 0.005, 0.0, cora, 72.65, 0.80, 56.34, 0.92, 49.28, 1.17, 68.99, 0.79, 75.35, 0.39, 6.96, 0.48
0.01, 0.0, 4, True, True, True, 0.005, 60.0, 0.01, 0.0, cora, 73.16, 0.44, 57.05, 0.66, 49.88, 0.55, 69.54, 0.56, 74.93, 0.29, 7.09, 0.43
0.01, 0.0, 4, True, True, True, 0.005, 100.0, 0.001, 0.0, cora, 72.50, 0.55, 56.17, 0.76, 49.02, 0.72, 68.95, 0.66, 75.70, 0.31, 6.51, 0.16
0.01, 0.0, 4, True, True, True, 0.005, 100.0, 0.003, 0.0, cora, 72.56, 0.78, 56.42, 0.70, 48.96, 0.97, 68.98, 0.62, 75.85, 0.47, 6.35, 0.27
0.01, 0.0, 4, True, True, True, 0.005, 100.0, 0.005, 0.0, cora, 72.67, 0.75, 56.38, 1.06, 49.21, 0.97, 69.13, 0.68, 75.62, 0.72, 6.48, 0.31
0.01, 0.0, 4, True, True, True, 0.005, 100.0, 0.01, 0.0, cora, 72.35, 0.55, 56.02, 0.34, 48.79, 0.51, 68.78, 0.40, 75.77, 0.45, 6.50, 0.12
0.01, 0.0, 4, True, True, True, 0.005, 140.0, 0.001, 0.0, cora, 72.45, 0.76, 56.11, 0.73, 48.73, 0.99, 68.99, 0.68, 76.12, 0.37, 6.08, 0.14
0.01, 0.0, 4, True, True, True, 0.005, 140.0, 0.003, 0.0, cora, 72.92, 0.71, 56.78, 1.13, 49.29, 1.04, 69.57, 0.61, 75.72, 0.59, 6.19, 0.18
0.01, 0.0, 4, True, True, True, 0.005, 140.0, 0.005, 0.0, cora, 72.38, 0.58, 55.89, 0.22, 48.65, 0.86, 68.86, 0.31, 76.08, 0.45, 6.14, 0.18
0.01, 0.0, 4, True, True, True, 0.005, 140.0, 0.01, 0.0, cora, 72.44, 0.65, 55.95, 0.58, 48.77, 0.79, 69.08, 0.33, 76.22, 0.48, 6.09, 0.12
0.01, 0.0, 4, True, True, True, 0.005, 180.0, 0.001, 0.0, cora, 72.73, 0.76, 56.22, 0.67, 49.13, 0.92, 69.26, 0.52, 76.29, 0.45, 5.88, 0.10
0.01, 0.0, 4, True, True, True, 0.005, 180.0, 0.003, 0.0, cora, 72.90, 0.75, 56.30, 0.59, 49.23, 1.04, 69.43, 0.49, 76.13, 0.28, 5.94, 0.11
